disease_id,name,specialty_id,med_id,severity
77,Hodgkin’s Lymphoma,SP077,50,3
78,Stomach Cancer,SP078,8,3
79,Vitiligo,SP079,28,2
80,Cholecystitis,SP080,30,1
81,Nystagmus,SP081,47,3
82,Idiopathic Pulmonary Fibrosis,SP082,33,2
83,Wilson’s Disease,SP083,33,1
84,West Nile Virus,SP084,41,3
85,Duchenne Muscular Dystrophy,SP085,41,5
86,Gigantism,SP086,39,2
87,Non-Hodgkin’s Lymphoma,SP087,10,3
88,Esophageal Cancer,SP088,49,2
89,Lichen Planus,SP089,35,5
90,Biliary Colic,SP090,1,5
91,Keratoconus,SP091,21,4
92,Sarcoidosis,SP092,2,1
93,Primary Biliary Cholangitis,SP093,24,3
94,Lyme Disease,SP094,16,1
95,Myasthenia Gravis,SP095,16,5
96,Pituitary Adenoma,SP096,6,1
97,Melanoma,SP097,47,4
98,Kidney Cancer,SP098,5,5
99,Pemphigus,SP099,50,2
100,Hepatic Encephalopathy,SP100,9,4
101,Uveitis,SP101,36,2
102,Asbestosis,SP102,17,5
103,Autoimmune Hepatitis,SP103,39,4
104,Typhoid Fever,SP104,14,5
105,Guillain-Barré Syndrome,SP105,49,2
106,Prolactinoma,SP106,46,3
107,Brain Tumor,SP107,26,3
108,Testicular Cancer,SP108,29,5
109,Urticaria,SP109,29,1
110,Barrett’s Esophagus,SP110,16,2
111,Conjunctivitis,SP111,5,3
112,Silicosis,SP112,2,5
113,Polycystic Kidney Disease,SP113,36,2
114,Leptospirosis,SP114,38,2
115,Charcot-Marie-Tooth Disease,SP115,1,1
116,Pheochromocytoma,SP116,46,1
117,Glioma,SP117,15,1
118,Cervical Cancer,SP118,3,3
119,Pruritus,SP119,5,5
120,Hiatal Hernia,SP120,16,3
121,Iritis,SP121,43,4
122,Mesothelioma,SP122,14,5
123,Nephrotic Syndrome,SP123,9,5
124,Brucellosis,SP124,37,4
125,Friedreich’s Ataxia,SP125,16,4
126,Adrenal Cancer,SP126,27,2
127,Neuroblastoma,SP127,7,1
128,Endometrial Cancer,SP128,43,4
129,Alopecia Areata,SP129,23,4
130,Esophagitis,SP130,27,4
131,Blepharitis,SP131,47,1
132,Berylliosis,SP132,44,1
133,Glomerulonephritis,SP133,4,4
134,Q Fever,SP134,47,3
135,Spinocerebellar Ataxia,SP135,7,2
136,Thyroid Cancer,SP136,13,2
137,Retinoblastoma,SP137,35,4
138,Uterine Cancer,SP138,9,4
139,Tinea Versicolor,SP139,12,3
140,Gastroesophageal Reflux Disease,SP140,30,2
141,Keratitis,SP141,5,4
142,Anthrax,SP142,36,1
143,Interstitial Lung Disease,SP143,4,5
144,Schistosomiasis,SP144,1,1
145,Tay-Sachs Disease,SP145,49,2
146,Parathyroid Cancer,SP146,11,4
147,Disease-146,SP147,32,4
148,Disease-147,SP148,14,4
149,Disease-148,SP149,4,2
150,Disease-149,SP150,25,1
